sku;product-id;product-id-type;price;quantity;state;update-delete;canon;tipo-iva
FS2288M-B;8433281014862;EAN;165,32;98;11;update;0.00;21.00
LP1090F-B;8433281015005;EAN;25,69;6;11;update;0.00;21.00
UK720201;6974560221592;EAN;15,90;0;11;update;0.00;21.00
UK740401;6974560221585;EAN;36,25;0;11;update;0.00;21.00
UK710101;6974560221578;EAN;31,86;5;11;update;0.00;21.00
UK710102;6974560221165;EAN;36,50;5;11;update;0.00;21.00
CL-9011135-WW;0840006687849;EAN;81,25;2;11;update;0.00;21.00
CL-9011136-WW;0840006687856;EAN;89,47;1;11;update;0.00;21.00
FT86TRE-303;8435739901762;EAN;162,54;116;11;update;0.00;21.00
MSF3P-301;8435739901786;EAN;60,60;3;11;update;0.00;21.00
DT80F-305;8435739901922;EAN;20,39;22;11;update;0.00;21.00
DT57TSR-307;8435739901960;EAN;80,23;1;11;update;0.00;21.00
FTF100E-271;8435739901779;EAN;449,77;125;11;update;0.00;21.00
A151-0899;8435739902110;EAN;15,75;1;11;update;0.00;21.00
A151-0900;8435739902127;EAN;19,17;3;11;update;0.00;21.00
A125-0905;8435739902219;EAN;16,53;12;11;update;0.00;21.00
WT100T-319;8435739902301;EAN;31,06;6;11;update;0.00;21.00
WT100F-317;8435739902295;EAN;23,57;1;11;update;0.00;21.00
WT86T-315;8435739902288;EAN;23,73;5;11;update;0.00;21.00
WT86F-313;8435739902271;EAN;19,94;15;11;update;0.00;21.00
WT75T-311;8435739902264;EAN;21,27;27;11;update;0.00;21.00
WT75F-309;8435739902257;EAN;16,72;1;11;update;0.00;21.00
WT65TSLE-321;8435739902318;EAN;23,92;1;11;update;0.00;21.00
WT70TSLE-325;8435739902332;EAN;28,01;1;11;update;0.00;21.00
WT70TSLE-323;8435739902325;EAN;27,69;5;11;update;0.00;21.00
WT80TSLE-327;8435739902349;EAN;30,18;1;11;update;0.00;21.00
FT86FE-329;8435739902356;EAN;121,27;2;11;update;0.00;21.00
FT86FE-331;8435739902363;EAN;121,27;40;11;update;0.00;21.00
FT70TE-333;8435739902424;EAN;79,28;198;11;update;0.00;21.00
FT70TE-335;8435739902431;EAN;81,51;60;11;update;0.00;21.00
MPC08-337;8435739902448;EAN;44,95;1;11;update;0.00;21.00
LPS4L-339;8435739902486;EAN;21,18;8;11;update;0.00;21.00
LPS4SL-341;8435739902493;EAN;22,61;1;11;update;0.00;21.00
DT49TSR-343;8435739902578;EAN;55,16;1;11;update;0.00;21.00
DT38TSR-345;8435739902585;EAN;97,34;11;11;update;0.00;21.00
DT49TSRRGB-347;8435739902592;EAN;66,99;1;11;update;0.00;21.00
DT38TSRRGB-349;8435739902608;EAN;122,24;0;11;update;0.00;21.00
DB1334TNR-B;8433281015449;EAN;32,82;1;11;update;0.00;21.00
DB1434TNR-B;8433281015456;EAN;53,14;2;11;update;0.00;21.00
NXLITEHUBONE;8436587972515;EAN;19,43;2;11;update;0.00;21.00
UK720206;6974560221073;EAN;25,60;0;11;update;0.00;21.00
UK740402;8436617920844;EAN;33,83;0;11;update;0.00;21.00
UK710108;8436617920769;EAN;66,20;0;11;update;0.00;21.00
UK710110;8436617920776;EAN;50,66;0;11;update;0.00;21.00
UK730650;8436617920837;EAN;72,90;0;11;update;0.00;21.00
UK730501;8436617920806;EAN;40,50;0;11;update;0.00;21.00
UK730520;8436617920813;EAN;121,31;0;11;update;0.00;21.00
WT100HA-353;8435739902820;EAN;470,95;23;11;update;0.00;21.00
